"exposure";"outcome";"lambda";"beta_unpenalized";"bootstrap_mean";"bootstrap_standard_error";"ci95_lower";"ci95_upper";"bootstrap_q025";"bootstrap_q975";"z_value";"p_value";"significant";"n_valid_bootstrap";"omitted_cohort";"scenario"
"h_abs_ratio_preg_Log";"e3_bw";0;0,0230844956890225;0,0042072673918626;0,0388797867646443;-0,0531184860962774;0,0992874774743224;-0,0713670600928032;0,0742740223258804;0,593740285376632;0,552685834084473;FALSE;100;"4";"Combined"
"h_no2_ratio_preg_Log";"e3_bw";0;0,0496589602386138;0,0203342058548698;0,0559683332529155;-0,0600369572118361;0,159354877689064;-0,0964827320043443;0,0960284836711253;0,887268877817207;0,374934157164827;FALSE;100;"4";"Combined"
"h_pm25_ratio_preg_None";"e3_bw";0;0,027373843660612;0,0177275933359011;0,0267996595841924;-0,0251525239223388;0,0799002112435628;-0,0352405232857075;0,0653237898263618;1,02142505111364;0,307053101623281;FALSE;100;"4";"Combined"
"h_accesslines300_preg_dic0";"e3_bw";0;-0,0231498549561288;-0,00229277025457456;0,10906544170521;-0,236914192656292;0,190614482744035;-0,221372660971079;0,221939983400353;-0,212256555277152;0,831906887023834;FALSE;100;"4";"Combined"
"h_accesspoints300_preg_Log";"e3_bw";0;0,030132484808243;0,0666650341700706;0,0564140678491351;-0,0804370563974608;0,140702026013947;-0,0227250779844279;0,179553875917707;0,53413068684968;0,593251120011905;FALSE;100;"4";"Combined"
"h_builtdens300_preg_Sqrt";"e3_bw";0;0,0285964421222806;0,0186813492650339;0,0322385421740759;-0,0345899394529837;0,091782823697545;-0,0464550110181587;0,0851845367189939;0,887026527684493;0,375064618465144;FALSE;100;"4";"Combined"
"h_connind300_preg_Sqrt";"e3_bw";0;0,0237810137299889;0,0279086123874411;0,0253995411758784;-0,0260011721985748;0,0735631996585526;-0,0224154683601248;0,0776138183337284;0,936277295929009;0,349130434674551;FALSE;100;"4";"Combined"
"h_fdensity300_preg_Log";"e3_bw";0;0,00891484385894608;-0,015155673388079;0,0464017240798806;-0,0820308641581848;0,099860551876077;-0,118460788202799;0,0654998789403699;0,19212311688245;0,847645767552436;FALSE;100;"4";"Combined"
"h_frichness300_preg_None";"e3_bw";0;0,0345690481951958;0,045389826493072;0,0390746869464135;-0,042015930926952;0,111154027317344;-0,0214776883322311;0,131770402115232;0,884691622548463;0,376322975225427;FALSE;100;"4";"Combined"
"h_landuseshan300_preg_None";"e3_bw";0;0,0146060476194916;0,0295121790302473;0,0334019149284706;-0,0508605026549815;0,0800725978939646;-0,0282477287236996;0,0864394245668214;0,437281744198501;0,661907033198973;FALSE;100;"4";"Combined"
"h_popdens_preg_Sqrt";"e3_bw";0;-0,0395094586570745;-0,0289743566493145;0,0299844437527069;-0,098277888508847;0,019258971194698;-0,0920587001670671;0,0273974363269545;-1,31766521943592;0,187615742442577;FALSE;100;"4";"Combined"
"h_walkability_mean_preg_None";"e3_bw";0;-0,0289188366813303;-0,0451532474159185;0,0365522319244357;-0,100559894807779;0,0427222214451188;-0,120392476329258;0,00729115800576176;-0,791164729451107;0,428847870524612;FALSE;100;"4";"Combined"
"hs_as_m_Log2";"e3_bw";0;-0,00310707602235664;-0,00692098111108087;0,0230091401868403;-0,0482041621037969;0,0419900100590836;-0,0500173848498432;0,0323092204578921;-0,135036598374661;0,892582938012552;FALSE;100;"4";"Combined"
"hs_cd_m_Log2";"e3_bw";0;-0,0190988910672423;-0,0231139535317021;0,0228312880177129;-0,0638473933026204;0,0256496111681358;-0,0605674882435943;0,0186808010695049;-0,836522716214043;0,402860902746881;FALSE;100;"4";"Combined"
"hs_co_m_Log2";"e3_bw";0;-0,0031021058649852;0,0168002477883269;0,0296994692017321;-0,0613119958603366;0,0551077841303662;-0,0300662256413034;0,0833045630641246;-0,104449875649774;0,916812344055515;FALSE;100;"4";"Combined"
"hs_cu_m_Log2";"e3_bw";0;0,00932082996533738;0,0101212291489862;0,0229986678583081;-0,0357557307293454;0,0543973906600202;-0,0300882370228786;0,0530311485796655;0,405276950072145;0,685273947587402;FALSE;100;"4";"Combined"
"hs_mn_m_Log2";"e3_bw";0;0,0193053259039856;0,012682776968258;0,0241616764823511;-0,0280506898075309;0,0666613416155021;-0,045452011532093;0,0525466226443157;0,799006058958168;0,424286898733521;FALSE;100;"4";"Combined"
"hs_mo_m_Log2";"e3_bw";0;0,00590313896996935;0,00372272843716738;0,0218458564632662;-0,036913952909464;0,0487202308494027;-0,0428924885346685;0,0474787983899207;0,270217786146104;0,786992710134152;FALSE;100;"4";"Combined"
"h_humidity_preg_None";"e3_bw";0;-0,0903712690754761;-0,0723072025337796;0,0543060993401093;-0,196809267922945;0,0160667297719925;-0,165972606704405;0,0413570798920393;-1,66410900752597;0,0960906473278879;FALSE;100;"4";"Combined"
"h_ndvi100_preg_None";"e3_bw";0;-0,00126548046917367;0,0124788320887681;0,0401073183707241;-0,0798743799922746;0,0773434190539272;-0,0590256225290056;0,114348791988194;-0,0315523580379135;0,974829037231347;FALSE;100;"4";"Combined"
"hs_dde_madj_Log2";"e3_bw";0;-0,0525882998950191;-0,0518317634762365;0,0386553305106547;-0,128351355506395;0,0231747557163564;-0,123293815641422;0,0124473360248324;-1,36044108795096;0,173690383659399;FALSE;100;"4";"Combined"
"hs_hcb_madj_Log2";"e3_bw";0;0,0361271503297683;0,0376757608846269;0,0243880312522;-0,011672512578381;0,0839268132379175;-0,00428439366643708;0,0815224864685823;1,48134754938488;0,138513983823083;FALSE;100;"4";"Combined"
"hs_pcb118_madj_Log2";"e3_bw";0;-0,0875532211654887;-0,0461599062361703;0,0425013446224667;-0,170854325920049;-0,00425211641092886;-0,111826734586357;0,0436009525787941;-2,06001061715132;0,039397525839214;TRUE;100;"4";"Combined"
"hs_pcb138_madj_Log2";"e3_bw";0;0,0204182294396071;-0,00358932766564571;0,0338823334720489;-0,0459899238777847;0,086826382756999;-0,0821790296391178;0,0528007428932823;0,60262170126066;0,546760380271186;FALSE;100;"4";"Combined"
"hs_pcb170_madj_Log2";"e3_bw";0;0,0712665408461982;0,064121140711935;0,0391097550894468;-0,0053871705732996;0,147920252265696;0,00789797170738936;0,147481321857576;1,82221905208065;0,0684217548689795;FALSE;100;"4";"Combined"
"hs_pcb180_madj_Log2";"e3_bw";0;0,0120593864880919;0,00410930501049048;0,0451749787000437;-0,0764819447663578;0,100600717742541;-0,0849302517100719;0,0820827384698684;0,266948360245275;0,789508921149003;FALSE;100;"4";"Combined"
"hs_pfhxs_m_Log2";"e3_bw";0;0,0430462409252422;0,0238201002942241;0,0384697914898643;-0,0323531648876572;0,118445646738142;-0,052708063985209;0,0913375384107496;1,11896215857015;0,263156283121442;FALSE;100;"4";"Combined"
"hs_pfna_m_Log2";"e3_bw";0;-0,00759155578818434;-0,0194049341371122;0,0358147544229202;-0,0777871845722546;0,0626040729958859;-0,0848372030853623;0,0423903107826464;-0,211967271882954;0,832132567397512;FALSE;100;"4";"Combined"
"e3_asmokcigd_p_None";"e3_bw";0;-0,0254021685282946;-0,0260954225292698;0,0287505119661553;-0,0817521365190469;0,0309477994624576;-0,0822567607964455;0,023693431772059;-0,883537954322264;0,376945685313607;FALSE;100;"4";"Combined"
"h_trafload_preg_pow1over3";"e3_bw";0;0,00599131691818134;0,0063229015651231;0,0267809215457152;-0,0464983247842131;0,0584809586205758;-0,06214576496254;0,0568561319057615;0,223715860858415;0,822978403548581;FALSE;100;"4";"Combined"
"h_trafnear_preg_pow1over3";"e3_bw";0;-0,0103214497334889;-0,00987528782356911;0,0285348513229432;-0,0662487306306626;0,0456058311636848;-0,0546133848177452;0,0522100571877957;-0,361713808026399;0,717565907478257;FALSE;100;"4";"Combined"
"h_clf_preg_Log";"e3_bw";0;-0,0404882686253308;-0,0450003488735627;0,0319863659826044;-0,103180393947553;0,022203856696891;-0,110870395759312;0,00658683672331251;-1,26579770416402;0,205585517272311;FALSE;100;"4";"Combined"
"h_thm_preg_Log";"e3_bw";0;0,0213719468698951;0,020606022594662;0,0392076505651436;-0,0554736361562179;0,0982175298960081;-0,0631532885685694;0,0920033020054572;0,545096341194573;0,585687258970142;FALSE;100;"4";"Combined"
"e3_alcpreg_yn_None_1";"e3_bw";0;0,0286824814300513;-0,00470237199211104;0,0425194778655778;-0,0546541638279292;0,112019126688032;-0,0875433886713824;0,0674783511713988;0,674572757471971;0,49994724594158;FALSE;100;"4";"Combined"
"h_pamod_t3_None_Often";"e3_bw";0;0,0813402746439878;0,100459611380064;0,089385519567216;-0,0938521244471558;0,256532673735131;-0,0373353046288356;0,305842371535099;0,909993867438692;0,362825743958788;FALSE;100;"4";"Combined"
"h_pamod_t3_None_Sometimes";"e3_bw";0;0,0241573263570649;0,0285215553634113;0,0926079340530286;-0,157350889069532;0,205665541783661;-0,117026704272074;0,205967160775466;0,260855904022566;0,794203631237957;FALSE;100;"4";"Combined"
"h_pamod_t3_None_Very Often";"e3_bw";0;0,032476161658898;0,0399990532127709;0,0854985909952318;-0,135097997420677;0,200050320738473;-0,109189639864103;0,209584195279842;0,379844407736604;0,704060915909985;FALSE;100;"4";"Combined"
"h_pavig_t3_None_Low";"e3_bw";0;-0,134635574978088;-0,144061072544719;0,0905025599056471;-0,312017332901835;0,0427461829456593;-0,292973837640756;0,0425330529673387;-1,48764383149439;0,136844847658228;FALSE;100;"4";"Combined"
"h_pavig_t3_None_Medium";"e3_bw";0;-0,197297337401932;-0,165780647645984;0,103827022268643;-0,400794561670511;0,00619988686664702;-0,340991823599497;0,0483961898222797;-1,90025036922895;0,0574002710841143;FALSE;100;"4";"Combined"
"hs_no2_dy_hs_h_Log";"e3_bw";0;0,0165269661385109;0,0501075058644503;0,0617352930351736;-0,104471984785456;0,137525917062478;-0,0604793618567825;0,151542955739388;0,267706935951445;0,788924910513841;FALSE;100;"4";"Combined"
"hs_pm10_dy_hs_h_None";"e3_bw";0;0,0178416052985503;0,0212628434974592;0,0369129566314679;-0,0545064602620157;0,0901896708591162;-0,0472150081118777;0,0931539039839192;0,483342623477104;0,628852480438177;FALSE;100;"4";"Combined"
"hs_pm10_wk_hs_h_None";"e3_bw";0;0,0182554321294623;0,01360363373212;0,0267796592904657;-0,034231735598104;0,0707425998570285;-0,0330459482197194;0,070878599415398;0,681690231061367;0,495434845886308;FALSE;100;"4";"Combined"
"hs_pm25_dy_hs_h_None";"e3_bw";0;-0,0358701226962477;-0,0368081817256687;0,0310614548433712;-0,0967494554966724;0,025009210104177;-0,100012795270517;0,0208808037756815;-1,15481141746658;0,248167660546403;FALSE;100;"4";"Combined"
"hs_pm25_yr_hs_h_None";"e3_bw";0;-0,028580758481761;-0,0110821571291158;0,0491846389566924;-0,124980879429484;0,0678193624659618;-0,101181749066667;0,0778641891741756;-0,581091151384209;0,561179022010258;FALSE;100;"4";"Combined"
"hs_pm25abs_dy_hs_h_Log";"e3_bw";0;0,0349951223315275;0,0215972388571364;0,0262705594181644;-0,0164942279817941;0,0864844726448491;-0,0338507661536414;0,0743888035910483;1,3321041921677;0,182825952978641;FALSE;100;"4";"Combined"
"hs_pm25abs_yr_hs_h_Log";"e3_bw";0;0,00446661646679132;-0,0164426420678305;0,0420681840420767;-0,0779855091506816;0,0869187420842643;-0,111783005633062;0,0534896834332305;0,106175642436189;0,915442996209622;FALSE;100;"4";"Combined"
"hs_accesslines300_h_dic0";"e3_bw";0;0,0507336302490817;0,037367737982806;0,147051701158116;-0,237482407886173;0,338949668384336;-0,233385474171108;0,338400543725577;0,345005395038108;0,730090314822405;FALSE;100;"4";"Combined"
"hs_accesspoints300_h_Log";"e3_bw";0;-0,0607361397173161;-0,0797978917008346;0,0470932827649107;-0,153037277850302;0,0315649984156697;-0,18416139831334;-0,00892062174662135;-1,28969857592027;0,197155334242663;FALSE;100;"4";"Combined"
"hs_connind300_h_Log";"e3_bw";0;-0,0367372173672533;-0,0108646705695566;0,0315467699223307;-0,098567750243593;0,0250933155090863;-0,061311762644103;0,0613570272476323;-1,16453181919105;0,244208556213757;FALSE;100;"4";"Combined"
"hs_fdensity300_h_Log";"e3_bw";0;0,0298464079678574;0,0355571020367451;0,0334688378960778;-0,0357513089128644;0,0954441248485791;-0,0207747861255998;0,0986940581961613;0,891767083773024;0,372517788182038;FALSE;100;"4";"Combined"
"hs_landuseshan300_h_None";"e3_bw";0;0,0174214606943339;0,00589555005242992;0,032426840611678;-0,0461339790369757;0,0809769004256435;-0,0620416382354672;0,0658610627716771;0,537254335165167;0,591091943779928;FALSE;100;"4";"Combined"
"hs_walkability_mean_h_None";"e3_bw";0;0,00649179005908008;0,0111357229867376;0,0287289926485208;-0,0498160008441366;0,0627995809622968;-0,0497331094173767;0,0658505288226964;0,22596650493467;0,82122747175524;FALSE;100;"4";"Combined"
"hs_accesslines300_s_dic0";"e3_bw";0;-0,0980703192749407;-0,103972154674507;0,108768325000673;-0,311252318935008;0,115111680385127;-0,379958794750644;0,111386579846211;-0,90164410709031;0,367245952802814;FALSE;100;"4";"Combined"
"hs_accesspoints300_s_Log";"e3_bw";0;-0,0177664486893775;-0,0220813690587964;0,0318422727814552;-0,0801761565269298;0,0446432591481748;-0,0828540593802964;0,0393243106724823;-0,557951651608379;0,576877399536299;FALSE;100;"4";"Combined"
"hs_builtdens300_s_Sqrt";"e3_bw";0;-0,0221806784403594;-0,0146864310992275;0,0276601765097793;-0,0763936282055476;0,0320322713248288;-0,0643686479750946;0,0401591227203485;-0,801899381680278;0,422611163832676;FALSE;100;"4";"Combined"
"hs_connind300_s_Log";"e3_bw";0;-0,0299239836463383;-0,03423344121432;0,022804215302859;-0,0746194243356392;0,0147714570429625;-0,0864524563733235;0,00309276369624239;-1,31221281894259;0,189448337831749;FALSE;100;"4";"Combined"
"hs_landuseshan300_s_None";"e3_bw";0;-0,000576775475439241;-0,00481351107829406;0,0276903492759939;-0,054848862775722;0,0536953118248435;-0,0498865995196447;0,0510431495492668;-0,0208294763525889;0,983381684107396;FALSE;100;"4";"Combined"
"h_Absorbance_Log";"e3_bw";0;0,00566281470017505;0,0020830899657349;0,0335700247596039;-0,0601332247887665;0,0714588541891166;-0,0592668570651823;0,0673027232913083;0,168686640558852;0,866043127477788;FALSE;100;"4";"Combined"
"h_Benzene_Log";"e3_bw";0;-0,0657418533294885;-0,0530114014892331;0,0276568842434963;-0,119948350371335;-0,0115353562876424;-0,121928223444665;-0,00754969201087448;-2,37705204789827;0,0174516254558163;TRUE;100;"4";"Combined"
"h_NO2_Log";"e3_bw";0;0,0686261036942124;0,0770680480106905;0,0387128110396471;-0,00724961168380049;0,144501819072225;-0,0012275421631439;0,146686448980515;1,77269750894426;0,0762788441094006;FALSE;100;"4";"Combined"
"h_PM_Log";"e3_bw";0;-0,0439670235739186;-0,0305161952823514;0,0261141348345499;-0,0951497873370593;0,00721574018922203;-0,0728749713241227;0,0206374538751742;-1,68364848586708;0,0922496224335951;FALSE;100;"4";"Combined"
"h_TEX_Log";"e3_bw";0;0,00775725524116007;0,00777358223304719;0,0285744464195399;-0,0482476306193076;0,0637621411016277;-0,0507042086117324;0,0655244592804534;0,27147525895219;0,78602552595357;FALSE;100;"4";"Combined"
"hs_KIDMED_None";"e3_bw";0;0,0633154246710269;0,0497110839017322;0,0288894657619308;0,00669311224503962;0,119937737097014;0,000870358159132051;0,105524422829187;2,19164401283118;0,0284052212990732;TRUE;100;"4";"Combined"
"hs_mvpa_prd_alt_None";"e3_bw";0;-0,0183811186196151;-0,0214732750764756;0,0368904970796875;-0,0906851642675826;0,0539229270283524;-0,096165750137404;0,056052080393533;-0,498261614092917;0,618299659762229;FALSE;100;"4";"Combined"
"hs_sd_wk_None";"e3_bw";0;-0,00158116701581605;0,00518364173803836;0,0278403163139518;-0,0561471843093644;0,0529848502777323;-0,0430052916770642;0,0577547698642936;-0,056794146948096;0,954709176472965;FALSE;100;"4";"Combined"
"hs_dif_hours_total_None";"e3_bw";0;-0,00752733087484292;-0,0371030624479585;0,0346886253841861;-0,0755157873010496;0,0604611255513638;-0,0922204700868794;0,0252530861809191;-0,216997093181861;0,828210610276279;FALSE;100;"4";"Combined"
"hs_as_c_Log2";"e3_bw";0;0,0628943819390263;0,0516410355567277;0,0412524006716103;-0,0179588376531458;0,143747601531198;-0,0338776634822644;0,132176743685257;1,52462355923712;0,127353017706529;FALSE;100;"4";"Combined"
"hs_co_c_Log2";"e3_bw";0;0,0209017759040123;-0,00385569848603043;0,0258283491349603;-0,0297208581806361;0,0715244099886607;-0,0578826065899791;0,0419795465488903;0,809257138146721;0,418367254964483;FALSE;100;"4";"Combined"
"hs_cs_c_Log2";"e3_bw";0;0,01424575622806;0,0109901571912848;0,0265266282882812;-0,0377454798482526;0,0662369923043725;-0,0340899840959008;0,0610217449382643;0,537036070820708;0,591242698339166;FALSE;100;"4";"Combined"
"hs_cu_c_Log2";"e3_bw";0;-0,00475920174320855;-0,00807013703312641;0,0210445114499745;-0,0460056862573994;0,0364872827709823;-0,0492178530427004;0,0230363793849011;-0,226149309976703;0,821085294038968;FALSE;100;"4";"Combined"
"hs_hg_c_Log2";"e3_bw";0;-0,0536028300293127;-0,0513025364836003;0,0391524417229938;-0,130340205713184;0,0231345456545584;-0,110635364022628;0,0306854505029456;-1,36908013064821;0,170974228469816;FALSE;100;"4";"Combined"
"hs_mn_c_Log2";"e3_bw";0;-0,051440534959061;-0,0351170676282392;0,0281715449742603;-0,106655748497462;0,00377467857933948;-0,083990458062146;0,0228069863895784;-1,82597493343234;0,0678540377034832;FALSE;100;"4";"Combined"
"hs_mo_c_Log2";"e3_bw";0;-0,0528483302981312;-0,0578302255984963;0,0284704627141595;-0,108649411841074;0,00295275124481185;-0,112893149910803;-0,00794981190257395;-1,85625119017991;0,0634177627104933;FALSE;100;"4";"Combined"
"hs_pb_c_Log2";"e3_bw";0;-0,0188144621867149;-0,00488945072568164;0,0274503204378469;-0,0726161016089786;0,0349871772355488;-0,0471918536669625;0,0575006497930753;-0,68540045750339;0,493091255437435;FALSE;100;"4";"Combined"
"hs_hum_mt_hs_h_None";"e3_bw";0;0,0492242906958499;0,0517965882755111;0,0436240744101041;-0,0362773240068496;0,134725905398549;-0,0159655420298741;0,140778428846999;1,12837444373258;0,259161816097902;FALSE;100;"4";"Combined"
"hs_hum_dy_hs_h_None";"e3_bw";0;-0,00113127232180369;-0,0104346007266889;0,0431534400986574;-0,0857104607241787;0,0834479160805714;-0,0822588997137488;0,0634720514890861;-0,0262151133077079;0,979085761349102;FALSE;100;"4";"Combined"
"hs_hum_wk_hs_h_None";"e3_bw";0;-0,040895342073345;-0,0352934691180672;0,0412645877492612;-0,12177244789879;0,0399817637520997;-0,118244735222591;0,0378418918150165;-0,991051754153952;0,32166030952796;FALSE;100;"4";"Combined"
"hs_tm_dy_hs_h_None";"e3_bw";0;0,0369117401459656;0,0311782870601464;0,028844858317655;-0,0196231432957988;0,09344662358773;-0,0303453527600162;0,0836299869769362;1,27966446357523;0,200663167687524;FALSE;100;"4";"Combined"
"hs_ndvi100_h_None";"e3_bw";0;-0,00454829258086626;-0,00791269404368835;0,0376965960388979;-0,0784322631568614;0,0693356779951289;-0,0697877393647824;0,0764385982945402;-0,120655259593546;0,903964097685821;FALSE;100;"4";"Combined"
"hs_ndvi100_s_None";"e3_bw";0;-0,0286415139102325;-0,0131364595600233;0,0396430090441363;-0,106340383875535;0,0490573560550702;-0,0762810569655633;0,0680935434242525;-0,722485870796152;0,469995809116031;FALSE;100;"4";"Combined"
