"exposure";"outcome";"lambda";"beta_unpenalized";"bootstrap_mean";"bootstrap_standard_error";"ci95_lower";"ci95_upper";"bootstrap_q025";"bootstrap_q975";"z_value";"p_value";"significant";"n_valid_bootstrap";"omitted_cohort";"scenario"
"hs_no2_dy_hs_h_Log";"e3_bw";0;-0,049623394237851;-0,0040970075500347;0,0491362724849203;-0,145928718642841;0,0466819301671393;-0,0766200588210901;0,110945689024204;-1,00991368958808;0,312536643352731;FALSE;100;"3";"Childhood"
"hs_no2_yr_hs_h_Log";"e3_bw";0;-0,0585794645569086;-0,061893605604725;0,0482010055531115;-0,153051699459622;0,0358927703458052;-0,137814779283323;0,0078593067528023;-1,21531623427153;0,224245502471163;FALSE;100;"3";"Childhood"
"hs_pm10_dy_hs_h_None";"e3_bw";0;0,0131539164676799;0,0194523827723158;0,0274133878778771;-0,0405753364671861;0,0668831694025459;-0,0294201195002726;0,0759529527723983;0,479835492288616;0,63134437333563;FALSE;100;"3";"Childhood"
"hs_pm10_wk_hs_h_None";"e3_bw";0;0,0049498972050267;-0,0065076565800011;0,026587289574064;-0,047160232806676;0,0570600272167294;-0,0583383338191007;0,0467597369019597;0,18617532228089;0,852307275585796;FALSE;100;"3";"Childhood"
"hs_pm10_yr_hs_h_None";"e3_bw";0;0,0456840884655818;0,0445324220805106;0,0531373310751676;-0,0584631666763277;0,149831343607491;-0,0648851912147039;0,147736323819891;0,859736225761085;0,389934460981844;FALSE;100;"3";"Childhood"
"hs_pm25_dy_hs_h_None";"e3_bw";0;-0,00143093166015782;-0,00993704734620097;0,032252636670337;-0,0646449379404741;0,0617830746201585;-0,0696105997916319;0,0429606627399429;-0,0443663466892261;0,964612386673542;FALSE;100;"3";"Childhood"
"hs_pm25_yr_hs_h_None";"e3_bw";0;-0,0175917738608164;0,00332115131107768;0,0529268919695696;-0,121326575934815;0,0861430282131821;-0,093562263209577;0,126500797509165;-0,332378743700477;0,739603287128845;FALSE;100;"3";"Childhood"
"hs_pm25abs_dy_hs_h_Log";"e3_bw";0;0,0420331137282667;0,0313010954635287;0,0286308771172833;-0,0140823742674004;0,0981486017239339;-0,0294846242072085;0,0810934957165373;1,46810429719225;0,14207589451539;FALSE;100;"3";"Childhood"
"hs_pm25abs_wk_hs_h_Log";"e3_bw";0;-0,0165572870426436;-0,0109056863719842;0,0224357934230693;-0,06053063411644;0,0274160600311527;-0,0563244438070854;0,0317412330821454;-0,737985358058202;0,460523346735562;FALSE;100;"3";"Childhood"
"hs_pm25abs_yr_hs_h_Log";"e3_bw";0;0,00093650771255273;-0,00233487326426497;0,0263863953899239;-0,0507798769335317;0,0526528923586372;-0,0569287549089771;0,0467982504987602;0,0354920669804847;0,971687372024089;FALSE;100;"3";"Childhood"
"hs_accesslines300_h_dic0";"e3_bw";0;0,0654643390018144;0,111870526890283;0,221969815809773;-0,369588505640331;0,50051718364396;-0,287309501175981;0,544193396780729;0,294924509276148;0,768051548551345;FALSE;100;"3";"Childhood"
"hs_accesspoints300_h_Log";"e3_bw";0;-0,0444054456218181;-0,0410581133878604;0,0305731947610747;-0,104327806245853;0,0155169150022169;-0,104818299898179;0,00722820256918935;-1,45243066577898;0,146381894743524;FALSE;100;"3";"Childhood"
"hs_connind300_h_Log";"e3_bw";0;-0,00756726024802436;0,00205871373221342;0,0291947839946861;-0,0647879854140355;0,0496534649179868;-0,048006960054464;0,0554854043225042;-0,259199049028817;0,795481664803504;FALSE;100;"3";"Childhood"
"hs_fdensity300_h_Log";"e3_bw";0;0,0162791159831324;0,0195404801264551;0,0306123467980887;-0,0437199812233715;0,0762782131896363;-0,0347386274080378;0,0716596488642637;0,531782685283991;0,594876516269792;FALSE;100;"3";"Childhood"
"hs_landuseshan300_h_None";"e3_bw";0;0,0187661247490843;0,00550410254526647;0,020734075966692;-0,0218719173983495;0,0594041668965181;-0,0306094880193586;0,0462405159083801;0,905086138356536;0,36541975506663;FALSE;100;"3";"Childhood"
"hs_popdens_h_Sqrt";"e3_bw";0;-0,009619042889886;-0,00781434452709765;0,0274170835430092;-0,0633555391953099;0,0441174534155379;-0,0571648848127733;0,0496161852255692;-0,350841214558674;0,725707475365957;FALSE;100;"3";"Childhood"
"hs_walkability_mean_h_None";"e3_bw";0;0,0157964655046384;0,00630943391313853;0,0209209041748768;-0,0252077532021338;0,0568006842114106;-0,0366071812863597;0,0468454876219631;0,755056539267927;0,450215058644609;FALSE;100;"3";"Childhood"
