"exposure";"outcome";"lambda";"selection_tol";"beta_original";"beta_boot_mean_all";"beta_boot_mean_selected";"beta_boot_median_selected";"beta_boot_sd_all";"beta_boot_q025_all";"beta_boot_q975_all";"beta_boot_q025_selected";"beta_boot_q975_selected";"n_selected";"sel_prob";"sel_prob_threshold";"passes_sel_prob";"sign_consistency";"sign_consistency_threshold";"passes_sign_consistency";"passes_stability_filter";"prop_positive";"prop_negative";"prop_zero"
"h_abs_ratio_preg_Log";"e3_bw";0,23895795329256;1e-12;0,0444695601428256;0,0280998402876065;0,028673306415925;0,0245890562912008;0,0349613690457182;-0,0223897523921028;0,0928681311811055;-0,0225232800374201;0,0932633260616035;98;0,98;0,9;TRUE;0,755102040816326;0,8;FALSE;FALSE;0,74;0,24;0,02
"h_no2_ratio_preg_Log";"e3_bw";0,23895795329256;1e-12;-0,0158754527740937;-0,00596256346947902;-0,00662507052164335;-0,00949788638783368;0,0275676518747685;-0,0532916699209303;0,0501903549556149;-0,0534125486682014;0,0505722479647002;90;0,9;0,9;TRUE;0,611111111111111;0,8;FALSE;FALSE;0,35;0,55;0,1
"h_pm10_ratio_preg_None";"e3_bw";0,23895795329256;1e-12;0;0,00529829358125239;0,00981165478009702;0,0075828684591167;0,0170113243893101;-0,0233090768480103;0,047045107500682;-0,0271759210017612;0,0516913641098458;54;0,54;0,9;FALSE;NA;0,8;FALSE;FALSE;0,37;0,17;0,46
"h_pm25_ratio_preg_None";"e3_bw";0,23895795329256;1e-12;0,0134387543335058;0,00702029629811657;0,00771461131661162;0,00722827087841214;0,0229200248201665;-0,030794391786374;0,0558314807508625;-0,0310945807898962;0,0559211656013267;91;0,91;0,9;TRUE;0,626373626373626;0,8;FALSE;FALSE;0,57;0,34;0,09
"h_accesslines300_preg_dic0";"e3_bw";0,23895795329256;1e-12;0,00633059385235641;0,0244182781950728;0,0246649274697705;0,0100929911697055;0,0752497272024571;-0,0973982662133233;0,147586845034075;-0,0974104733355443;0,147595984643277;99;0,99;0,9;TRUE;0,585858585858586;0,8;FALSE;FALSE;0,58;0,41;0,01
"h_accesspoints300_preg_Log";"e3_bw";0,23895795329256;1e-12;0,0211946572024297;0,0382599995592379;0,0411397844722988;0,0355159616034255;0,0344458926287165;-0,00245435489538186;0,120408289536117;-0,00251414884563402;0,121751364576375;93;0,93;0,9;TRUE;0,935483870967742;0,8;TRUE;TRUE;0,87;0,06;0,07
"h_builtdens300_preg_Sqrt";"e3_bw";0,23895795329256;1e-12;0;-0,000560816775477323;-0,000789882782362427;0,00161780438008934;0,0195254638153531;-0,0553099261638125;0,0278610283872892;-0,0567107024219621;0,0323821593347487;71;0,71;0,9;FALSE;NA;0,8;FALSE;FALSE;0,42;0,29;0,29
"h_connind300_preg_Sqrt";"e3_bw";0,23895795329256;1e-12;0,0145549842423998;0,0110521617827659;0,0130025432738423;0,00991135296935454;0,0199047527323729;-0,0268866015787389;0,0551857841356033;-0,0275893116842449;0,0564528865459527;85;0,85;0,9;FALSE;0,776470588235294;0,8;FALSE;FALSE;0,66;0,19;0,15
"h_fdensity300_preg_Log";"e3_bw";0,23895795329256;1e-12;0,00247054885416205;-0,0232700780558911;-0,0247554021871182;-0,0176388706544362;0,0317135325503648;-0,104262417676526;0,0236308126721381;-0,105188753097519;0,0239659288646951;94;0,94;0,9;TRUE;0,234042553191489;0,8;FALSE;FALSE;0,22;0,72;0,06
"h_frichness300_preg_None";"e3_bw";0,23895795329256;1e-12;0,00470663616989712;0,0256429723376922;0,0284921914863247;0,0257909672736721;0,0239825773131351;-0,000397482498094807;0,0775769586567587;-0,000528305002855999;0,0784242989061777;90;0,9;0,9;TRUE;0,966666666666667;0,8;TRUE;TRUE;0,87;0,03;0,1
"h_landuseshan300_preg_None";"e3_bw";0,23895795329256;1e-12;-0,00244142194406803;0,0153101968212159;0,0161159966539115;0,0142852916432622;0,0191902130602963;-0,0132972406840648;0,0538708548581631;-0,013328621529095;0,0539127961828433;95;0,95;0,9;TRUE;0,189473684210526;0,8;FALSE;FALSE;0,77;0,18;0,05
"h_popdens_preg_Sqrt";"e3_bw";0,23895795329256;1e-12;-0,00101443028879417;0,00109991078534619;0,0011578008266802;0,000433983856452904;0,0183151899931151;-0,0388774358628691;0,035555076093174;-0,0394956168245602;0,0359733625524885;95;0,95;0,9;TRUE;0,473684210526316;0,8;FALSE;FALSE;0,5;0,45;0,05
"h_walkability_mean_preg_None";"e3_bw";0,23895795329256;1e-12;-0,00375910322055181;-0,017069262429662;-0,0193968891246159;-0,0154545718215948;0,0184810834084077;-0,0606340411517558;0,0114820340887932;-0,0624712513701205;0,0133255598695868;88;0,88;0,9;FALSE;0,897727272727273;0,8;TRUE;FALSE;0,09;0,79;0,12
"hs_as_m_Log2";"e3_bw";0,23895795329256;1e-12;-0,00976870218023814;-0,00584872280845357;-0,00602961114273564;-0,00590029464876477;0,0155216812210508;-0,0386049761856838;0,0203794558505324;-0,0394082721134334;0,0204205633078919;97;0,97;0,9;TRUE;0,628865979381443;0,8;FALSE;FALSE;0,36;0,61;0,03
"hs_cd_m_Log2";"e3_bw";0,23895795329256;1e-12;0,00335350201975245;0,00510983725274066;0,00516145177044511;0,00540435485660591;0,0199869432620839;-0,0307089685739073;0,0443260779832776;-0,0307196935950274;0,0443962779837537;99;0,99;0,9;TRUE;0,555555555555556;0,8;FALSE;FALSE;0,55;0,44;0,01
"hs_co_m_Log2";"e3_bw";0,23895795329256;1e-12;0;0,00936888368095538;0,0118593464315891;0,0093934696739622;0,0121937273532073;-0,00748597171939319;0,0370578298119428;-0,00887636118154961;0,037715830655445;79;0,79;0,9;FALSE;NA;0,8;FALSE;FALSE;0,65;0,14;0,21
"hs_cs_m_Log2";"e3_bw";0,23895795329256;1e-12;-0,0027198715251259;-0,023850110284624;-0,0245877425614681;-0,0210618221419466;0,0228738414616909;-0,0824704350771151;0,00524649412068525;-0,0826681664213938;0,00564752775478819;97;0,97;0,9;TRUE;0,938144329896907;0,8;TRUE;TRUE;0,06;0,91;0,03
"hs_cu_m_Log2";"e3_bw";0,23895795329256;1e-12;0,0191364122470291;0,00938444157213603;0,00957596078789391;0,00819393186729844;0,0193304635283452;-0,0249286683501747;0,0443142484078331;-0,025117750983047;0,044376525602661;98;0,98;0,9;TRUE;0,704081632653061;0,8;FALSE;FALSE;0,69;0,29;0,02
"hs_hg_m_Log2";"e3_bw";0,23895795329256;1e-12;0;-0,00133346548769943;-0,00182666505164305;-0,00106843797179921;0,0118316897039683;-0,0285966271245305;0,0263405261978744;-0,0291181333502373;0,0269099567639202;73;0,73;0,9;FALSE;NA;0,8;FALSE;FALSE;0,33;0,4;0,27
"hs_mn_m_Log2";"e3_bw";0,23895795329256;1e-12;0;0,00433797633767197;0,00667380975026457;0,00502906499872532;0,0105880396983575;-0,00869924759345976;0,0314280029600163;-0,00988529669558505;0,0369153648285949;65;0,65;0,9;FALSE;NA;0,8;FALSE;FALSE;0,46;0,19;0,35
"hs_mo_m_Log2";"e3_bw";0,23895795329256;1e-12;0,0195634650485178;0,00899930068427591;0,00899930068427591;0,0101860945133399;0,0212649927999107;-0,0325727291568293;0,0463758134683108;-0,0325727291568293;0,0463758134683108;100;1;0,9;TRUE;0,69;0,8;FALSE;FALSE;0,69;0,31;0
"hs_pb_m_Log2";"e3_bw";0,23895795329256;1e-12;0;-0,0154482738353731;-0,0177566365923828;-0,0168627761005706;0,0168091874522658;-0,049217036917409;0,00959279235516821;-0,0492840168646814;0,0105026813928492;87;0,87;0,9;FALSE;NA;0,8;FALSE;FALSE;0,14;0,73;0,13
"h_humidity_preg_None";"e3_bw";0,23895795329256;1e-12;-0,000413476433532525;-0,00790123467694969;-0,0103963614170391;-0,00430427823413334;0,0211622528948066;-0,0544271090456913;0,0217247520516743;-0,0559469805051939;0,0228687342703401;76;0,76;0,9;FALSE;0,684210526315789;0,8;FALSE;FALSE;0,24;0,52;0,24
"h_pressure_preg_None";"e3_bw";0,23895795329256;1e-12;0;0,00104805260934654;0,00151891682513991;0,000535416003431976;0,0160379775025939;-0,0357688349656361;0,0381066465502064;-0,0403926711450663;0,0403850451993559;69;0,69;0,9;FALSE;NA;0,8;FALSE;FALSE;0,38;0,31;0,31
"h_temperature_preg_None";"e3_bw";0,23895795329256;1e-12;0;0,0191211700126063;0,028539059720308;0,0248202849925252;0,0265908406152812;-0,00252045893178535;0,0870398049832591;-0,00323615378585691;0,0951204724672124;67;0,67;0,9;FALSE;NA;0,8;FALSE;FALSE;0,62;0,05;0,33
"h_ndvi100_preg_None";"e3_bw";0,23895795329256;1e-12;0,00759277169111071;0,0165341165088007;0,0172230380300007;0,0146183650099412;0,0303733790360831;-0,033931202773735;0,0823840845917301;-0,0341035925716997;0,0829511361273622;96;0,96;0,9;TRUE;0,677083333333333;0,8;FALSE;FALSE;0,65;0,31;0,04
"hs_dde_madj_Log2";"e3_bw";0,23895795329256;1e-12;-0,00858088732301664;-0,0333187843457885;-0,0339987595365189;-0,0334651610675819;0,025440084005163;-0,0898722723222349;0,00424353350621101;-0,0899118859445726;0,00446953267665775;98;0,98;0,9;TRUE;0,948979591836735;0,8;TRUE;TRUE;0,05;0,93;0,02
"hs_ddt_madj_Log2";"e3_bw";0,23895795329256;1e-12;0;0,00393188810458147;0,00504088218536086;0,00321943485181957;0,00965423195918426;-0,011193995472967;0,0237737857814543;-0,0125846931204049;0,0243030392547386;78;0,78;0,9;FALSE;NA;0,8;FALSE;FALSE;0,49;0,29;0,22
"hs_hcb_madj_Log2";"e3_bw";0,23895795329256;1e-12;0;0,0030339538281768;0,00409993760564433;0,00302276681143322;0,00820547073359947;-0,0118652695653264;0,0230088810502901;-0,0129396124167648;0,025607179793008;74;0,74;0,9;FALSE;NA;0,8;FALSE;FALSE;0,57;0,17;0,26
"hs_pcb118_madj_Log2";"e3_bw";0,23895795329256;1e-12;-0,00629334379564751;-0,00582429590586058;-0,00677243709983788;-0,00630737543744091;0,017216322630478;-0,0400391332209231;0,0275406708722655;-0,0404766491968576;0,0285738189704329;86;0,86;0,9;FALSE;0,63953488372093;0,8;FALSE;FALSE;0,31;0,55;0,14
"hs_pcb138_madj_Log2";"e3_bw";0,23895795329256;1e-12;0,00323752279297006;0,00454503591167939;0,00510678192323527;0,00353867251065529;0,0151787538315916;-0,0266345278927879;0,0380126075397895;-0,0269121885256064;0,0384608436151619;89;0,89;0,9;FALSE;0,629213483146067;0,8;FALSE;FALSE;0,56;0,33;0,11
"hs_pcb153_madj_Log2";"e3_bw";0,23895795329256;1e-12;0,00380632374544183;-0,000187818456686832;-0,000223593400817657;4,80592864812838e-05;0,0152053255390438;-0,0362450918231307;0,0233529912707639;-0,0369146835761437;0,0234789842057111;84;0,84;0,9;FALSE;0,5;0,8;FALSE;FALSE;0,42;0,42;0,16
"hs_pcb170_madj_Log2";"e3_bw";0,23895795329256;1e-12;0,00729862416802273;0,0246401121670948;0,0254021774918503;0,0191076060937325;0,0283294261764166;-0,0154203061460126;0,0842224345351715;-0,0155462225054984;0,08497125927656;97;0,97;0,9;TRUE;0,835051546391753;0,8;TRUE;TRUE;0,81;0,16;0,03
"hs_pcb180_madj_Log2";"e3_bw";0,23895795329256;1e-12;-0,00378755413784489;0,00639095998550564;0,0082999480331242;0,0101671209551321;0,0222829726598115;-0,0481169664718601;0,0545744562904097;-0,0498718046254691;0,0549434797774435;77;0,77;0,9;FALSE;0,285714285714286;0,8;FALSE;FALSE;0,55;0,22;0,23
"hs_sumPCBs5_madj_Log2";"e3_bw";0,23895795329256;1e-12;0,000319779878282015;0,00461759472566591;0,00669216626908102;0,00653556711984807;0,0184849300067201;-0,0254074633386797;0,0434779288631181;-0,0303827303633848;0,0474480984478319;69;0,69;0,9;FALSE;0,652173913043478;0,8;FALSE;FALSE;0,45;0,24;0,31
"hs_pfhxs_m_Log2";"e3_bw";0,23895795329256;1e-12;-0,00912553670798213;0,0124709316008875;0,0129905537509245;0,0103265802464206;0,0240406516206529;-0,0301063620724293;0,0607885386289459;-0,0307706299497736;0,0612515784244875;96;0,96;0,9;TRUE;0,3125;0,8;FALSE;FALSE;0,66;0,3;0,04
"hs_pfna_m_Log2";"e3_bw";0,23895795329256;1e-12;0,01359364678011;-0,00736425695522251;-0,00743864338911365;-0,00525158760764399;0,026030595677342;-0,0698665952299269;0,0336971471733938;-0,0704027612485941;0,0338381619118067;99;0,99;0,9;TRUE;0,424242424242424;0,8;FALSE;FALSE;0,42;0,57;0,01
