"exposure";"outcome";"lambda";"selection_tol";"beta_original";"beta_boot_mean_all";"beta_boot_mean_selected";"beta_boot_median_selected";"beta_boot_sd_all";"beta_boot_q025_all";"beta_boot_q975_all";"beta_boot_q025_selected";"beta_boot_q975_selected";"n_selected";"sel_prob";"sel_prob_threshold";"passes_sel_prob";"sign_consistency";"sign_consistency_threshold";"passes_sign_consistency";"passes_stability_filter";"prop_positive";"prop_negative";"prop_zero"
"h_abs_ratio_preg_Log";"e3_bw";0,000121507529397887;1e-12;-0,0138305830786831;-0,0135743358232847;-0,0135743358232847;-0,0134278061385568;0,00477959785595784;-0,0230357949850985;-0,00482142747254217;-0,0230357949850985;-0,00482142747254217;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"h_no2_ratio_preg_Log";"e3_bw";0,000121507529397887;1e-12;-0,00413050114465829;-0,00573344255956565;-0,00573344255956565;-0,00541987323009351;0,00529475135307664;-0,0171006451058624;0,00421628805975331;-0,0171006451058624;0,00421628805975331;100;1;0,9;TRUE;0,89;0,8;TRUE;TRUE;0,11;0,89;0
"h_pm10_ratio_preg_None";"e3_bw";0,000121507529397887;1e-12;0,00510900487591156;0,00490639179443104;0,00490639179443104;0,00439474429106441;0,0045970774238269;-0,00311127792613368;0,0136028383574449;-0,00311127792613368;0,0136028383574449;100;1;0,9;TRUE;0,89;0,8;TRUE;TRUE;0,89;0,11;0
"h_pm25_ratio_preg_None";"e3_bw";0,000121507529397887;1e-12;-0,00332537745725256;-0,0038038650620838;-0,0038038650620838;-0,00372660156622786;0,00402144736192009;-0,0133450080326084;0,00346596953793795;-0,0133450080326084;0,00346596953793795;100;1;0,9;TRUE;0,82;0,8;TRUE;TRUE;0,18;0,82;0
"h_accesslines300_preg_dic0";"e3_bw";0,000121507529397887;1e-12;0,0314993680417149;0,0331144336800997;0,0331144336800997;0,0339416947806839;0,0139563450874695;0,00230489864380021;0,057024999230597;0,00230489864380021;0,057024999230597;100;1;0,9;TRUE;0,98;0,8;TRUE;TRUE;0,98;0,02;0
"h_accesspoints300_preg_Log";"e3_bw";0,000121507529397887;1e-12;0,00126367299497354;0,00204292433455913;0,00204292433455913;0,00209122426260659;0,00371949498526855;-0,00468653262829522;0,00968497202279536;-0,00468653262829522;0,00968497202279536;100;1;0,9;TRUE;0,71;0,8;FALSE;FALSE;0,71;0,29;0
"h_builtdens300_preg_Sqrt";"e3_bw";0,000121507529397887;1e-12;0,00461749101385847;0,00325362461694684;0,00325362461694684;0,00330812350327693;0,00412279216507776;-0,00408752073882953;0,0105906030787406;-0,00408752073882953;0,0105906030787406;100;1;0,9;TRUE;0,81;0,8;TRUE;TRUE;0,81;0,19;0
"h_connind300_preg_Sqrt";"e3_bw";0,000121507529397887;1e-12;0,0045309005294725;0,00492170641129323;0,00492170641129323;0,00471974777855514;0,00356429752737671;-0,00110389189764376;0,0113949505568549;-0,00110389189764376;0,0113949505568549;100;1;0,9;TRUE;0,93;0,8;TRUE;TRUE;0,93;0,07;0
"h_fdensity300_preg_Log";"e3_bw";0,000121507529397887;1e-12;0,00312522389108147;0,0024753140303499;0,0024753140303499;0,0023193319605631;0,00504737852059727;-0,00703789117477286;0,0127689731743087;-0,00703789117477286;0,0127689731743087;100;1;0,9;TRUE;0,71;0,8;FALSE;FALSE;0,71;0,29;0
"h_frichness300_preg_None";"e3_bw";0,000121507529397887;1e-12;0,0112850525741666;0,0110667374619933;0,0110667374619933;0,0106862152423608;0,00436134433614806;0,00305747974114114;0,019680820722223;0,00305747974114114;0,019680820722223;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;1;0;0
"h_landuseshan300_preg_None";"e3_bw";0,000121507529397887;1e-12;0,00750755542218005;0,00769732652848573;0,00769732652848573;0,00751180815301025;0,00342363756412563;0,00117853526167254;0,01477601309943;0,00117853526167254;0,01477601309943;100;1;0,9;TRUE;0,99;0,8;TRUE;TRUE;0,99;0,01;0
"h_popdens_preg_Sqrt";"e3_bw";0,000121507529397887;1e-12;0,00314092667229714;0,00459045937643185;0,00459045937643185;0,00460920279892151;0,00381235177213979;-0,00337770227249804;0,0117269340952693;-0,00337770227249804;0,0117269340952693;100;1;0,9;TRUE;0,84;0,8;TRUE;TRUE;0,84;0,16;0
"h_walkability_mean_preg_None";"e3_bw";0,000121507529397887;1e-12;-0,0114700245059867;-0,0119892772190809;-0,0119892772190809;-0,012056424336413;0,00405925822109473;-0,0194662681366851;-0,00512566964108699;-0,0194662681366851;-0,00512566964108699;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"hs_as_m_Log2";"e3_bw";0,000121507529397887;1e-12;0,00607928697300376;0,00572440312000446;0,00572440312000446;0,00534653153389462;0,00337544319988795;-0,000361869728945559;0,0116271763860794;-0,000361869728945559;0,0116271763860794;100;1;0,9;TRUE;0,96;0,8;TRUE;TRUE;0,96;0,04;0
"hs_cd_m_Log2";"e3_bw";0,000121507529397887;1e-12;-0,000383018774027478;0,000497372403362249;0,000497372403362249;0,000816604836487279;0,00317698570122557;-0,00561018858481924;0,00699873153354865;-0,00561018858481924;0,00699873153354865;100;1;0,9;TRUE;0,4;0,8;FALSE;FALSE;0,6;0,4;0
"hs_co_m_Log2";"e3_bw";0,000121507529397887;1e-12;0,000329169196115053;7,57869753693252e-05;7,57869753693252e-05;-7,15831501509439e-05;0,00356719372178619;-0,00583004815766861;0,0080598065186655;-0,00583004815766861;0,0080598065186655;100;1;0,9;TRUE;0,49;0,8;FALSE;FALSE;0,49;0,51;0
"hs_cs_m_Log2";"e3_bw";0,000121507529397887;1e-12;-0,0102280911093062;-0,0112325928944911;-0,0112325928944911;-0,0112498279373456;0,00336539581294732;-0,0173493691946445;-0,0038833427850078;-0,0173493691946445;-0,0038833427850078;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"hs_cu_m_Log2";"e3_bw";0,000121507529397887;1e-12;0,000268350779004521;0,000492740764274381;0,000492740764274381;0,000151430976110183;0,00329569294567356;-0,00534463255643899;0,00615777018709584;-0,00534463255643899;0,00615777018709584;100;1;0,9;TRUE;0,52;0,8;FALSE;FALSE;0,52;0,48;0
"hs_hg_m_Log2";"e3_bw";0,000121507529397887;1e-12;0,000555049184545771;0,000627726810787243;0,000627726810787243;0,00106413258876531;0,00346447566981593;-0,00561536501584544;0,00684018683869582;-0,00561536501584544;0,00684018683869582;100;1;0,9;TRUE;0,61;0,8;FALSE;FALSE;0,61;0,39;0
"hs_mn_m_Log2";"e3_bw";0,000121507529397887;1e-12;0,000896577742201758;0,000598668334817032;0,000598668334817032;0,000236508408074782;0,0028168065041832;-0,00412011663249688;0,00566726326202566;-0,00412011663249688;0,00566726326202566;100;1;0,9;TRUE;0,53;0,8;FALSE;FALSE;0,53;0,47;0
"hs_mo_m_Log2";"e3_bw";0,000121507529397887;1e-12;-0,00120428920763847;-0,00155300433360428;-0,00155300433360428;-0,00147729210449149;0,00294606857082931;-0,00767578085866378;0,00389293002643838;-0,00767578085866378;0,00389293002643838;100;1;0,9;TRUE;0,7;0,8;FALSE;FALSE;0,3;0,7;0
"hs_pb_m_Log2";"e3_bw";0,000121507529397887;1e-12;-0,0021655890134798;-0,0024409673855528;-0,0024409673855528;-0,00266399268238831;0,00312800566518364;-0,00896129939026571;0,00401899416232755;-0,00896129939026571;0,00401899416232755;100;1;0,9;TRUE;0,8;0,8;TRUE;TRUE;0,2;0,8;0
"h_humidity_preg_None";"e3_bw";0,000121507529397887;1e-12;0,030083045738544;0,0322496576741155;0,0322496576741155;0,0325815402480361;0,00544992790426795;0,0191681097696422;0,0425423654744232;0,0191681097696422;0,0425423654744232;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;1;0;0
"h_pressure_preg_None";"e3_bw";0,000121507529397887;1e-12;-0,0185268091783297;-0,0178493249184935;-0,0178493249184935;-0,0173244692886713;0,00546602969977937;-0,0293286967561557;-0,00893671473160257;-0,0293286967561557;-0,00893671473160257;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"h_temperature_preg_None";"e3_bw";0,000121507529397887;1e-12;0,0086832718061664;0,00820143297401682;0,00820143297401682;0,00789486156319331;0,00378541439935878;0,000664510487335568;0,015024605461876;0,000664510487335568;0,015024605461876;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;1;0;0
"h_ndvi100_preg_None";"e3_bw";0,000121507529397887;1e-12;0,000886693133659042;-5,02100092391347e-05;-5,02100092391347e-05;-7,46296433721148e-05;0,00388509938271844;-0,00737198017545836;0,00765192377731269;-0,00737198017545836;0,00765192377731269;100;1;0,9;TRUE;0,49;0,8;FALSE;FALSE;0,49;0,51;0
"hs_dde_madj_Log2";"e3_bw";0,000121507529397887;1e-12;-0,00385904635477987;-0,00418305680315074;-0,00418305680315074;-0,00379378599085257;0,0033710170722082;-0,010822917770425;0,00163515050421174;-0,010822917770425;0,00163515050421174;100;1;0,9;TRUE;0,91;0,8;TRUE;TRUE;0,09;0,91;0
"hs_ddt_madj_Log2";"e3_bw";0,000121507529397887;1e-12;-0,00319326394819253;-0,00307560898783557;-0,00307560898783557;-0,0034243397655212;0,00311453121179339;-0,00878760286657299;0,0023899724462131;-0,00878760286657299;0,0023899724462131;100;1;0,9;TRUE;0,84;0,8;TRUE;TRUE;0,16;0,84;0
"hs_hcb_madj_Log2";"e3_bw";0,000121507529397887;1e-12;-0,000383725315608296;-0,00124693003912558;-0,00124693003912558;-0,000852373897908149;0,0035448924966046;-0,00900918555545939;0,00564324931612399;-0,00900918555545939;0,00564324931612399;100;1;0,9;TRUE;0,66;0,8;FALSE;FALSE;0,34;0,66;0
"hs_pcb118_madj_Log2";"e3_bw";0,000121507529397887;1e-12;-0,00113357477821466;-0,000555071253422848;-0,000555071253422848;-0,00106164230415912;0,00504248761449456;-0,0101371833935865;0,00863546528634737;-0,0101371833935865;0,00863546528634737;100;1;0,9;TRUE;0,54;0,8;FALSE;FALSE;0,46;0,54;0
"hs_pcb138_madj_Log2";"e3_bw";0,000121507529397887;1e-12;-0,00533365187889219;-0,00686194744346402;-0,00686194744346402;-0,00660255973767013;0,00445982308600662;-0,014632082326508;0,000642796268421796;-0,014632082326508;0,000642796268421796;100;1;0,9;TRUE;0,95;0,8;TRUE;TRUE;0,05;0,95;0
"hs_pcb153_madj_Log2";"e3_bw";0,000121507529397887;1e-12;-0,0141027176696047;-0,0133825636360914;-0,0133825636360914;-0,0130701985854506;0,00446941151452364;-0,0234470578398767;-0,0059282023244048;-0,0234470578398767;-0,0059282023244048;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"hs_pcb170_madj_Log2";"e3_bw";0,000121507529397887;1e-12;-0,000521175950840727;0,000338093620804709;0,000338093620804709;0,000676449371847666;0,00416299632831028;-0,00755922456282649;0,00849392502198633;-0,00755922456282649;0,00849392502198633;100;1;0,9;TRUE;0,46;0,8;FALSE;FALSE;0,54;0,46;0
"hs_pcb180_madj_Log2";"e3_bw";0,000121507529397887;1e-12;0,0063344498894996;0,00431022296097536;0,00431022296097536;0,00478316908394394;0,00615967172556404;-0,0063162990638065;0,0166908283058373;-0,0063162990638065;0,0166908283058373;100;1;0,9;TRUE;0,73;0,8;FALSE;FALSE;0,73;0,27;0
